SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME, CENSUS2010POP , ESTIMATESBASE2010 , POPESTIMATE2010 , POPESTIMATE2011 , POPESTIMATE2012 , POPESTIMATE2013 , POPESTIMATE2014 , POPESTIMATE2015 , POPESTIMATE2016 , POPESTIMATE2017 
162,34,0,6610,0,0,0,A,Boonton town,New Jersey,"  8,347.00 ","  8,338.00 ","  8,352.00 ","  8,391.00 ","  8,423.00 ","  8,424.00 ","  8,412.00 ","  8,415.00 ","  8,389.00 ","  8,354.00 "
162,34,0,6670,0,0,0,A,Bordentown city,New Jersey,"  3,924.00 ","  3,917.00 ","  3,921.00 ","  3,914.00 ","  3,919.00 ","  3,898.00 ","  3,893.00 ","  3,867.00 ","  3,848.00 ","  3,835.00 "
162,34,0,6790,0,0,0,A,Bound Brook borough,New Jersey,"  10,402.00 ","  10,410.00 ","  10,428.00 ","  10,472.00 ","  10,515.00 ","  10,527.00 ","  10,521.00 ","  10,492.00 ","  10,470.00 ","  10,468.00 "
162,34,0,6970,0,0,0,A,Bradley Beach borough,New Jersey,"  4,298.00 ","  4,299.00 ","  4,304.00 ","  4,302.00 ","  4,296.00 ","  4,291.00 ","  4,280.00 ","  4,262.00 ","  4,255.00 ","  4,225.00 "
162,34,0,7300,0,0,0,A,Branchville borough,New Jersey,  841.00 ,  831.00 ,  830.00 ,  826.00 ,  818.00 ,  810.00 ,  801.00 ,  790.00 ,  786.00 ,  783.00 
162,34,0,7600,0,0,0,A,Bridgeton city,New Jersey,"  25,349.00 ","  25,415.00 ","  25,358.00 ","  25,218.00 ","  25,274.00 ","  25,237.00 ","  25,184.00 ","  24,916.00 ","  24,817.00 ","  24,505.00 "
162,34,0,7750,0,0,0,A,Brielle borough,New Jersey,"  4,774.00 ","  4,755.00 ","  4,758.00 ","  4,759.00 ","  4,773.00 ","  4,758.00 ","  4,751.00 ","  4,730.00 ","  4,724.00 ","  4,724.00 "
162,34,0,7810,0,0,0,A,Brigantine city,New Jersey,"  9,450.00 ","  9,450.00 ","  9,449.00 ","  9,438.00 ","  9,436.00 ","  9,388.00 ","  9,274.00 ","  9,165.00 ","  9,039.00 ","  8,963.00 "
162,34,0,8170,0,0,0,A,Brooklawn borough,New Jersey,"  1,955.00 ","  1,954.00 ","  1,953.00 ","  1,950.00 ","  1,947.00 ","  1,938.00 ","  1,933.00 ","  1,931.00 ","  1,934.00 ","  1,934.00 "
162,34,0,8680,0,0,0,A,Buena borough,New Jersey,"  4,603.00 ","  4,601.00 ","  4,604.00 ","  4,595.00 ","  4,592.00 ","  4,572.00 ","  4,544.00 ","  4,513.00 ","  4,455.00 ","  4,429.00 "
162,34,0,8920,0,0,0,A,Burlington city,New Jersey,"  9,920.00 ","  9,932.00 ","  9,937.00 ","  9,921.00 ","  9,920.00 ","  9,876.00 ","  9,846.00 ","  9,798.00 ","  9,860.00 ","  9,832.00 "
162,34,0,9040,0,0,0,A,Butler borough,New Jersey,"  7,539.00 ","  7,654.00 ","  7,673.00 ","  7,723.00 ","  7,745.00 ","  7,771.00 ","  7,792.00 ","  7,800.00 ","  7,786.00 ","  7,774.00 "
162,34,0,9250,0,0,0,A,Caldwell borough,New Jersey,"  7,822.00 ","  7,883.00 ","  7,890.00 ","  7,944.00 ","  7,948.00 ","  7,970.00 ","  8,004.00 ","  8,043.00 ","  8,081.00 ","  8,085.00 "
162,34,0,9280,0,0,0,A,Califon borough,New Jersey,"  1,076.00 ","  1,071.00 ","  1,070.00 ","  1,093.00 ","  1,085.00 ","  1,082.00 ","  1,077.00 ","  1,077.00 ","  1,063.00 ","  1,068.00 "
162,34,0,10000,0,0,0,A,Camden city,New Jersey,"  77,344.00 ","  77,057.00 ","  77,010.00 ","  77,306.00 ","  77,058.00 ","  76,728.00 ","  76,219.00 ","  75,826.00 ","  74,513.00 ","  74,532.00 "
162,34,0,10270,0,0,0,A,Cape May city,New Jersey,"  3,607.00 ","  3,607.00 ","  3,604.00 ","  3,580.00 ","  3,568.00 ","  3,543.00 ","  3,524.00 ","  3,504.00 ","  3,488.00 ","  3,480.00 "
162,34,0,10330,0,0,0,A,Cape May Point borough,New Jersey,  291.00 ,  291.00 ,  291.00 ,  289.00 ,  287.00 ,  283.00 ,  282.00 ,  281.00 ,  280.00 ,  279.00 
162,34,0,10480,0,0,0,A,Carlstadt borough,New Jersey,"  6,127.00 ","  6,125.00 ","  6,131.00 ","  6,176.00 ","  6,206.00 ","  6,236.00 ","  6,253.00 ","  6,275.00 ","  6,271.00 ","  6,314.00 "
162,34,0,10750,0,0,0,A,Carteret borough,New Jersey,"  22,844.00 ","  22,845.00 ","  22,874.00 ","  23,666.00 ","  23,874.00 ","  23,951.00 ","  24,065.00 ","  24,094.00 ","  24,072.00 ","  24,084.00 "
162,34,0,12100,0,0,0,A,Chatham borough,New Jersey,"  8,962.00 ","  8,987.00 ","  8,995.00 ","  9,027.00 ","  9,038.00 ","  9,052.00 ","  9,039.00 ","  9,008.00 ","  8,985.00 ","  8,928.00 "
162,34,0,12550,0,0,0,A,Chesilhurst borough,New Jersey,"  1,634.00 ","  1,631.00 ","  1,633.00 ","  1,630.00 ","  1,630.00 ","  1,628.00 ","  1,626.00 ","  1,630.00 ","  1,635.00 ","  1,639.00 "
162,34,0,12580,0,0,0,A,Chester borough,New Jersey,"  1,649.00 ","  1,648.00 ","  1,649.00 ","  1,661.00 ","  1,665.00 ","  1,669.00 ","  1,672.00 ","  1,669.00 ","  1,668.00 ","  1,665.00 "
162,34,0,13360,0,0,0,A,Clayton borough,New Jersey,"  8,179.00 ","  8,180.00 ","  8,182.00 ","  8,202.00 ","  8,209.00 ","  8,215.00 ","  8,356.00 ","  8,486.00 ","  8,597.00 ","  8,676.00 "
162,34,0,13420,0,0,0,A,Clementon borough,New Jersey,"  5,000.00 ","  4,977.00 ","  4,970.00 ","  4,962.00 ","  4,961.00 ","  4,941.00 ","  4,927.00 ","  4,923.00 ","  4,931.00 ","  4,959.00 "
162,34,0,13570,0,0,0,A,Cliffside Park borough,New Jersey,"  23,594.00 ","  23,612.00 ","  23,678.00 ","  23,859.00 ","  24,494.00 ","  24,631.00 ","  24,727.00 ","  24,866.00 ","  24,973.00 ","  25,142.00 "
162,34,0,13690,0,0,0,A,Clifton city,New Jersey,"  84,136.00 ","  84,099.00 ","  84,201.00 ","  84,888.00 ","  85,153.00 ","  85,597.00 ","  86,095.00 ","  86,320.00 ","  86,414.00 ","  86,607.00 "
162,34,0,13720,0,0,0,A,Clinton town,New Jersey,"  2,719.00 ","  2,719.00 ","  2,717.00 ","  2,702.00 ","  2,688.00 ","  2,685.00 ","  2,675.00 ","  2,662.00 ","  2,706.00 ","  2,701.00 "
162,34,0,13810,0,0,0,A,Closter borough,New Jersey,"  8,373.00 ","  8,415.00 ","  8,430.00 ","  8,497.00 ","  8,592.00 ","  8,649.00 ","  8,683.00 ","  8,702.00 ","  8,735.00 ","  8,766.00 "
162,34,0,14260,0,0,0,A,Collingswood borough,New Jersey,"  13,926.00 ","  13,939.00 ","  13,933.00 ","  13,912.00 ","  13,895.00 ","  13,902.00 ","  13,867.00 ","  14,002.00 ","  14,027.00 ","  14,027.00 "
162,34,0,15160,0,0,0,A,Corbin City city,New Jersey,  492.00 ,  492.00 ,  492.00 ,  494.00 ,  496.00 ,  499.00 ,  499.00 ,  490.00 ,  499.00 ,  500.00 
162,34,0,15820,0,0,0,A,Cresskill borough,New Jersey,"  8,573.00 ","  8,551.00 ","  8,569.00 ","  8,635.00 ","  8,683.00 ","  8,737.00 ","  8,769.00 ","  8,801.00 ","  8,807.00 ","  8,935.00 "
162,34,0,16660,0,0,0,A,Deal borough,New Jersey,  750.00 ,  750.00 ,  753.00 ,  752.00 ,  748.00 ,  743.00 ,  739.00 ,  737.00 ,  735.00 ,  733.00 
162,34,0,17530,0,0,0,A,Demarest borough,New Jersey,"  4,881.00 ","  4,881.00 ","  4,919.00 ","  4,969.00 ","  4,988.00 ","  5,023.00 ","  5,030.00 ","  5,048.00 ","  5,017.00 ","  5,032.00 "
162,34,0,18070,0,0,0,A,Dover town,New Jersey,"  18,157.00 ","  18,152.00 ","  18,174.00 ","  18,263.00 ","  18,319.00 ","  18,363.00 ","  18,311.00 ","  18,314.00 ","  18,264.00 ","  18,232.00 "
162,34,0,18400,0,0,0,A,Dumont borough,New Jersey,"  17,479.00 ","  17,401.00 ","  17,432.00 ","  17,569.00 ","  17,668.00 ","  17,762.00 ","  17,838.00 ","  17,915.00 ","  17,933.00 ","  17,998.00 "
162,34,0,18490,0,0,0,A,Dunellen borough,New Jersey,"  7,227.00 ","  7,227.00 ","  7,231.00 ","  7,271.00 ","  7,320.00 ","  7,361.00 ","  7,396.00 ","  7,408.00 ","  7,401.00 ","  7,407.00 "
162,34,0,19360,0,0,0,A,East Newark borough,New Jersey,"  2,406.00 ","  2,443.00 ","  2,446.00 ","  2,480.00 ","  2,500.00 ","  2,712.00 ","  2,730.00 ","  2,724.00 ","  2,733.00 ","  2,735.00 "
162,34,0,19390,0,0,0,A,East Orange city,New Jersey,"  64,270.00 ","  64,177.00 ","  64,203.00 ","  64,494.00 ","  64,500.00 ","  64,719.00 ","  64,962.00 ","  65,255.00 ","  65,359.00 ","  65,378.00 "
162,34,0,19510,0,0,0,A,East Rutherford borough,New Jersey,"  8,913.00 ","  8,913.00 ","  8,929.00 ","  8,993.00 ","  9,032.00 ","  9,076.00 ","  9,117.00 ","  9,161.00 ","  9,890.00 ","  9,928.00 "
162,34,0,19840,0,0,0,A,Eatontown borough,New Jersey,"  12,709.00 ","  12,685.00 ","  12,462.00 ","  12,330.00 ","  12,274.00 ","  12,240.00 ","  12,227.00 ","  12,256.00 ","  12,305.00 ","  12,376.00 "
162,34,0,20020,0,0,0,A,Edgewater borough,New Jersey,"  11,513.00 ","  11,516.00 ","  11,536.00 ","  11,651.00 ","  11,719.00 ","  11,974.00 ","  12,387.00 ","  12,035.00 ","  12,087.00 ","  12,368.00 "
162,34,0,20350,0,0,0,A,Egg Harbor City city,New Jersey,"  4,243.00 ","  4,254.00 ","  4,257.00 ","  4,261.00 ","  4,253.00 ","  4,246.00 ","  4,261.00 ","  4,232.00 ","  4,191.00 ","  4,174.00 "
162,34,0,21000,0,0,0,A,Elizabeth city,New Jersey,"  124,969.00 ","  124,969.00 ","  125,343.00 ","  126,108.00 ","  127,266.00 ","  128,307.00 ","  129,062.00 ","  129,315.00 ","  129,882.00 ","  130,215.00 "
162,34,0,21240,0,0,0,A,Elmer borough,New Jersey,"  1,395.00 ","  1,395.00 ","  1,389.00 ","  1,382.00 ","  1,374.00 ","  1,357.00 ","  1,344.00 ","  1,333.00 ","  1,322.00 ","  1,312.00 "
162,34,0,21300,0,0,0,A,Elmwood Park borough,New Jersey,"  19,403.00 ","  19,453.00 ","  19,490.00 ","  19,638.00 ","  19,751.00 ","  20,153.00 ","  20,245.00 ","  20,324.00 ","  20,352.00 ","  20,429.00 "
162,34,0,21450,0,0,0,A,Emerson borough,New Jersey,"  7,401.00 ","  7,385.00 ","  7,398.00 ","  7,507.00 ","  7,556.00 ","  7,612.00 ","  7,644.00 ","  7,678.00 ","  7,694.00 ","  7,739.00 "
162,34,0,21480,0,0,0,A,Englewood city,New Jersey,"  27,147.00 ","  27,119.00 ","  27,159.00 ","  27,360.00 ","  27,817.00 ","  27,965.00 ","  28,389.00 ","  28,521.00 ","  28,552.00 ","  29,112.00 "
162,34,0,21510,0,0,0,A,Englewood Cliffs borough,New Jersey,"  5,281.00 ","  5,307.00 ","  5,325.00 ","  5,363.00 ","  5,381.00 ","  5,410.00 ","  5,424.00 ","  5,428.00 ","  5,425.00 ","  5,453.00 "
162,34,0,21570,0,0,0,A,Englishtown borough,New Jersey,"  1,847.00 ","  1,827.00 ","  1,834.00 ","  1,843.00 ","  1,931.00 ","  1,942.00 ","  1,950.00 ","  1,945.00 ","  1,941.00 ","  1,943.00 "
162,34,0,21840,0,0,0,A,Essex Fells borough,New Jersey,"  2,113.00 ","  2,120.00 ","  2,121.00 ","  2,161.00 ","  2,190.00 ","  2,218.00 ","  2,196.00 ","  2,173.00 ","  2,144.00 ","  2,137.00 "
162,34,0,21870,0,0,0,A,Estell Manor city,New Jersey,"  1,735.00 ","  1,735.00 ","  1,732.00 ","  1,729.00 ","  1,740.00 ","  1,742.00 ","  1,737.00 ","  1,724.00 ","  1,717.00 ","  1,720.00 "
162,34,0,22440,0,0,0,A,Fair Haven borough,New Jersey,"  6,121.00 ","  6,113.00 ","  6,116.00 ","  6,097.00 ","  6,085.00 ","  6,071.00 ","  6,045.00 ","  6,010.00 ","  5,988.00 ","  5,950.00 "
162,34,0,22470,0,0,0,A,Fair Lawn borough,New Jersey,"  32,457.00 ","  32,413.00 ","  32,473.00 ","  32,725.00 ","  32,953.00 ","  33,133.00 ","  33,276.00 ","  33,542.00 ","  33,580.00 ","  33,710.00 "
162,34,0,22560,0,0,0,A,Fairview borough,New Jersey,"  13,835.00 ","  13,839.00 ","  13,874.00 ","  14,028.00 ","  14,104.00 ","  14,247.00 ","  14,410.00 ","  14,450.00 ","  14,473.00 ","  14,537.00 "
162,34,0,22860,0,0,0,A,Fanwood borough,New Jersey,"  7,318.00 ","  7,314.00 ","  7,330.00 ","  7,372.00 ","  7,417.00 ","  7,483.00 ","  7,516.00 ","  7,666.00 ","  7,777.00 ","  7,808.00 "
162,34,0,22890,0,0,0,A,Far Hills borough,New Jersey,  919.00 ,  919.00 ,  921.00 ,  926.00 ,  929.00 ,  930.00 ,  930.00 ,  928.00 ,  928.00 ,  927.00 
162,34,0,22950,0,0,0,A,Farmingdale borough,New Jersey,"  1,329.00 ","  1,324.00 ","  1,326.00 ","  1,318.00 ","  1,310.00 ","  1,310.00 ","  1,304.00 ","  1,299.00 ","  1,296.00 ","  1,298.00 "
162,34,0,23250,0,0,0,A,Fieldsboro borough,New Jersey,  540.00 ,  545.00 ,  543.00 ,  542.00 ,  540.00 ,  537.00 ,  538.00 ,  536.00 ,  532.00 ,  531.00 
162,34,0,23700,0,0,0,A,Flemington borough,New Jersey,"  4,581.00 ","  4,589.00 ","  4,584.00 ","  4,744.00 ","  4,720.00 ","  4,704.00 ","  4,681.00 ","  4,657.00 ","  4,633.00 ","  4,621.00 "
162,34,0,23910,0,0,0,A,Florham Park borough,New Jersey,"  11,696.00 ","  11,736.00 ","  11,745.00 ","  11,782.00 ","  11,816.00 ","  11,823.00 ","  11,769.00 ","  11,816.00 ","  11,773.00 ","  11,765.00 "
162,34,0,23940,0,0,0,A,Folsom borough,New Jersey,"  1,885.00 ","  1,883.00 ","  1,882.00 ","  1,882.00 ","  1,870.00 ","  1,861.00 ","  1,853.00 ","  1,841.00 ","  1,823.00 ","  1,815.00 "
162,34,0,24420,0,0,0,A,Fort Lee borough,New Jersey,"  35,345.00 ","  35,381.00 ","  35,477.00 ","  35,762.00 ","  36,005.00 ","  36,435.00 ","  36,581.00 ","  36,707.00 ","  37,708.00 ","  37,907.00 "
162,34,0,24930,0,0,0,A,Franklin borough,New Jersey,"  5,045.00 ","  5,064.00 ","  5,063.00 ","  5,038.00 ","  4,983.00 ","  4,931.00 ","  4,903.00 ","  4,840.00 ","  4,801.00 ","  4,775.00 "
162,34,0,24990,0,0,0,A,Franklin Lakes borough,New Jersey,"  10,590.00 ","  10,585.00 ","  10,607.00 ","  10,703.00 ","  10,757.00 ","  10,820.00 ","  10,884.00 ","  10,890.00 ","  10,892.00 ","  11,255.00 "
162,34,0,25200,0,0,0,A,Freehold borough,New Jersey,"  12,052.00 ","  12,049.00 ","  12,044.00 ","  12,021.00 ","  11,993.00 ","  11,990.00 ","  11,976.00 ","  11,935.00 ","  11,914.00 ","  11,894.00 "
162,34,0,25350,0,0,0,A,Frenchtown borough,New Jersey,"  1,373.00 ","  1,394.00 ","  1,393.00 ","  1,432.00 ","  1,379.00 ","  1,412.00 ","  1,409.00 ","  1,407.00 ","  1,362.00 ","  1,366.00 "
162,34,0,25770,0,0,0,A,Garfield city,New Jersey,"  30,487.00 ","  30,489.00 ","  30,556.00 ","  30,784.00 ","  31,043.00 ","  31,288.00 ","  31,564.00 ","  31,794.00 ","  31,985.00 ","  32,393.00 "
162,34,0,25800,0,0,0,A,Garwood borough,New Jersey,"  4,226.00 ","  4,226.00 ","  4,237.00 ","  4,266.00 ","  4,294.00 ","  4,329.00 ","  4,349.00 ","  4,362.00 ","  4,390.00 ","  4,408.00 "
162,34,0,26070,0,0,0,A,Gibbsboro borough,New Jersey,"  2,274.00 ","  2,276.00 ","  2,275.00 ","  2,271.00 ","  2,268.00 ","  2,257.00 ","  2,251.00 ","  2,249.00 ","  2,250.00 ","  2,247.00 "
162,34,0,26340,0,0,0,A,Glassboro borough,New Jersey,"  18,579.00 ","  18,568.00 ","  18,570.00 ","  18,657.00 ","  18,849.00 ","  18,927.00 ","  19,051.00 ","  19,199.00 ","  19,797.00 ","  20,011.00 "
162,34,0,26550,0,0,0,A,Glen Gardner borough,New Jersey,"  1,704.00 ","  1,973.00 ","  1,974.00 ","  1,964.00 ","  1,953.00 ","  1,948.00 ","  1,940.00 ","  1,935.00 ","  1,925.00 ","  1,924.00 "
162,34,0,26610,0,0,0,A,Glen Ridge borough,New Jersey,"  7,527.00 ","  7,514.00 ","  7,519.00 ","  7,557.00 ","  7,570.00 ","  7,599.00 ","  7,652.00 ","  7,673.00 ","  7,704.00 ","  7,704.00 "
162,34,0,26640,0,0,0,A,Glen Rock borough,New Jersey,"  11,601.00 ","  11,593.00 ","  11,616.00 ","  11,703.00 ","  11,766.00 ","  11,843.00 ","  11,941.00 ","  11,987.00 ","  11,987.00 ","  12,045.00 "
162,34,0,26820,0,0,0,A,Gloucester City city,New Jersey,"  11,456.00 ","  11,458.00 ","  11,451.00 ","  11,434.00 ","  11,417.00 ","  11,364.00 ","  11,332.00 ","  11,327.00 ","  11,345.00 ","  11,342.00 "
162,34,0,28650,0,0,0,A,Guttenberg town,New Jersey,"  11,176.00 ","  11,167.00 ","  11,192.00 ","  11,431.00 ","  11,544.00 ","  11,697.00 ","  11,757.00 ","  11,743.00 ","  11,754.00 ","  11,695.00 "
162,34,0,28680,0,0,0,A,Hackensack city,New Jersey,"  43,010.00 ","  43,008.00 ","  43,078.00 ","  43,390.00 ","  43,611.00 ","  43,829.00 ","  44,628.00 ","  44,818.00 ","  44,904.00 ","  45,248.00 "
162,34,0,28710,0,0,0,A,Hackettstown town,New Jersey,"  9,724.00 ","  9,718.00 ","  9,723.00 ","  9,681.00 ","  9,623.00 ","  9,563.00 ","  9,568.00 ","  9,611.00 ","  9,569.00 ","  9,554.00 "
162,34,0,28770,0,0,0,A,Haddonfield borough,New Jersey,"  11,593.00 ","  11,589.00 ","  11,580.00 ","  11,562.00 ","  11,528.00 ","  11,472.00 ","  11,432.00 ","  11,407.00 ","  11,438.00 ","  11,435.00 "
162,34,0,28800,0,0,0,A,Haddon Heights borough,New Jersey,"  7,473.00 ","  7,464.00 ","  7,476.00 ","  7,477.00 ","  7,496.00 ","  7,480.00 ","  7,490.00 ","  7,503.00 ","  7,553.00 ","  7,588.00 "
162,34,0,29070,0,0,0,A,Haledon borough,New Jersey,"  8,318.00 ","  8,322.00 ","  8,331.00 ","  8,384.00 ","  8,396.00 ","  8,418.00 ","  8,439.00 ","  8,450.00 ","  8,450.00 ","  8,463.00 "
162,34,0,29220,0,0,0,A,Hamburg borough,New Jersey,"  3,277.00 ","  3,300.00 ","  3,300.00 ","  3,283.00 ","  3,251.00 ","  3,222.00 ","  3,198.00 ","  3,168.00 ","  3,144.00 ","  3,132.00 "
162,34,0,29430,0,0,0,A,Hammonton town,New Jersey,"  14,791.00 ","  14,791.00 ","  14,785.00 ","  14,763.00 ","  14,749.00 ","  14,747.00 ","  14,678.00 ","  14,558.00 ","  14,429.00 ","  14,369.00 "
